::1 - - [15/Aug/2019:16:21:35 +0000] "GET /graphql?query=mutation%20%7B%0A%20%20createUser(userInput%3A%20%7B%0A%20%20%20%20name%3A%20%22Jon%22%0A%20%20%20%20email%3A%20%22jon%40test.com%22%0A%20%20%20%20password%3A%20%22password%22%0A%20%20%7D)%20%7B%0A%20%20%20%20_id%0A%20%20%20%20name%0A%20%20%20%20email%0A%20%20%20%20password%0A%20%20%7D%0A%7D%0A HTTP/1.1" 200 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
::1 - - [15/Aug/2019:16:21:35 +0000] "POST /graphql? HTTP/1.1" 200 - "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
::1 - - [15/Aug/2019:16:21:40 +0000] "POST /graphql? HTTP/1.1" 500 75 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
::1 - - [15/Aug/2019:16:22:05 +0000] "GET /graphql?query=mutation%20%7B%0A%20%20createUser(userInput%3A%20%7B%0A%20%20%20%20name%3A%20%22Jon%22%0A%20%20%20%20email%3A%20%22jon%40test.com%22%0A%20%20%20%20password%3A%20%22password%22%0A%20%20%7D)%20%7B%0A%20%20%20%20_id%0A%20%20%20%20name%0A%20%20%20%20email%0A%20%20%20%20password%0A%20%20%7D%0A%7D%0A HTTP/1.1" 200 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
::1 - - [15/Aug/2019:16:22:05 +0000] "POST /graphql? HTTP/1.1" 200 - "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
::1 - - [15/Aug/2019:16:22:12 +0000] "POST /graphql? HTTP/1.1" 500 75 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
::1 - - [15/Aug/2019:16:23:13 +0000] "GET /graphql?query=mutation%20%7B%0A%20%20createUser(userInput%3A%20%7B%0A%20%20%20%20name%3A%20%22Jon%22%0A%20%20%20%20email%3A%20%22jon%40test.com%22%0A%20%20%20%20password%3A%20%22password%22%0A%20%20%7D)%20%7B%0A%20%20%20%20_id%0A%20%20%20%20name%0A%20%20%20%20email%0A%20%20%20%20password%0A%20%20%7D%0A%7D%0A HTTP/1.1" 200 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
::1 - - [15/Aug/2019:16:23:13 +0000] "POST /graphql? HTTP/1.1" 200 - "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
::1 - - [15/Aug/2019:16:23:18 +0000] "POST /graphql? HTTP/1.1" 200 168 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
::1 - - [15/Aug/2019:16:24:22 +0000] "POST /graphql? HTTP/1.1" 500 66 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
::1 - - [15/Aug/2019:16:25:51 +0000] "POST /graphql? HTTP/1.1" 400 99 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
::1 - - [15/Aug/2019:16:25:57 +0000] "POST /graphql? HTTP/1.1" 500 66 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
::1 - - [15/Aug/2019:16:26:36 +0000] "POST /graphql? HTTP/1.1" 500 72 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
::1 - - [15/Aug/2019:16:27:45 +0000] "POST /graphql? HTTP/1.1" 500 66 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
